Day,Cash On Hand
11,176143
12,314149
13,298945
14,390435
15,516358
16,228367
17,350231
18,310939
19,308682
20,324026
21,620634
22,610773
23,274543
24,402319
25,641755
26,450534
27,660386
28,120253
29,117320
30,279853
31,635187
32,26632
33,1518780
34,3176701
35,4196127
36,3151489
37,3562341
38,3817335
39,4017525
40,3367441
41,3820157
42,2969311
43,2640392
44,3901117
45,5733796
46,5670707
47,8223006
48,9603252
49,12180842
50,12685698
51,12866028
52,13937527
53,14745490
54,15092576
55,15152245
56,14813813
57,14747624
58,14993893
59,15011784
60,14205562
61,14693291
62,14968475
63,14661508
64,14595867
65,16726447
66,17076048
67,17159956
68,18730984
69,19152233
70,22786665
71,26051049
72,28631590
73,30026972
74,30131505
75,30486248
76,30378068
77,30732861
78,31871154
79,31599123
80,31052225
81,31404861
82,31806982
83,31769222
84,34817994
85,37766248
86,37452913
87,37308382
88,37622706
89,38220692
90,39033011
